Sensors & Software Inc - Pavement Density Profiler,
Line Name,Line1
Date,"18/06/2020, 16:05:56"
Application Version,V1 R3 921
Unit Serial Number,E001-0000-0003
Height (cm),50
Maximum Density (g/cm^3),2.38
A,1.08
B,-0.211
C,0.0063
Collection Mode,Profile
Trigger Mode,Free
Free Run Interval (s),0.10000000000000001
Step Size (m),
Odometer Calibration,
Line Description,test1

































Trace Number,Position (m),Reflection Coefficient,K_r,Bulk Density (g/cm^3),Relative Density (%),Air Void Content (%),Time of Day (seconds after midnight),Status,Flag,Latitude (deg),Longitude (deg),Elevation (m),Easting,Northing,UTM Zone
1,,-0.086226,1.356585,0.463256,19.46,80.54,57958.513986999998,0,0,,,,,,
2,,-0.077621,1.315037,0.444056,18.66,81.34,57958.543915000002,0,0,,,,,,
3,,-0.095721,1.404206,0.485199,20.39,79.61,57958.563387000002,0,0,,,,,,
4,,-0.091609,1.383346,0.475596,19.98,80.02,57958.811365000001,0,0,,,,,,
5,,-0.093445,1.392614,0.479864,20.16,79.84,57958.824270999998,0,0,,,,,,
6,,-0.092095,1.385796,0.476724,20.03,79.97,57959.131784999998,0,0,,,,,,
7,,-0.092594,1.388310,0.477882,20.08,79.92,57959.154702,0,0,,,,,,
8,,-0.093451,1.392645,0.479878,20.16,79.84,57959.170560999999,0,0,,,,,,
9,,-0.092414,1.387400,0.477463,20.06,79.94,57959.435391999999,0,0,,,,,,
10,,-0.093006,1.390392,0.478841,20.12,79.88,57959.532202000002,0,0,,,,,,
11,,-0.091779,1.384205,0.475991,20.00,80.00,57959.548952999998,0,0,,,,,,
12,,-0.092438,1.387525,0.477521,20.06,79.94,57959.736663000003,0,0,,,,,,
13,,-0.091720,1.383907,0.475854,19.99,80.01,57959.749342000003,0,0,,,,,,
14,,-0.091326,1.381927,0.474942,19.96,80.04,57959.772721000001,0,0,,,,,,
15,,-0.092809,1.389397,0.478382,20.10,79.90,57960.049493999999,0,0,,,,,,
16,,-0.092387,1.387264,0.477400,20.06,79.94,57960.074379999998,0,0,,,,,,
17,,-0.091522,1.382912,0.475396,19.97,80.03,57960.087896999998,0,0,,,,,,
18,,-0.094232,1.396612,0.481705,20.24,79.76,57960.250766999998,0,0,,,,,,
19,,-0.092261,1.386631,0.477109,20.05,79.95,57960.264083000002,0,0,,,,,,
20,,-0.093267,1.391714,0.479450,20.14,79.86,57960.289820999998,0,0,,,,,,
21,,-0.093467,1.392726,0.479915,20.16,79.84,57960.610527999997,0,0,,,,,,
22,,-0.092741,1.389055,0.478225,20.09,79.91,57960.623497,0,0,,,,,,
23,,-0.093123,1.390984,0.479113,20.13,79.87,57960.639587999998,0,0,,,,,,
24,,-0.093461,1.392697,0.479902,20.16,79.84,57960.856755000001,0,0,,,,,,
25,,-0.092342,1.387039,0.477296,20.05,79.95,57960.869611000002,0,0,,,,,,
26,,-0.092798,1.389341,0.478357,20.10,79.90,57960.882393,0,0,,,,,,
27,,-0.093487,1.392828,0.479963,20.17,79.83,57961.163480000003,0,0,,,,,,
28,,-0.091882,1.384718,0.476228,20.01,79.99,57961.176328000001,0,0,,,,,,
29,,-0.092265,1.386649,0.477117,20.05,79.95,57961.189146999997,0,0,,,,,,
30,,-0.095272,1.401912,0.484144,20.34,79.66,57961.472011999998,0,0,,,,,,
31,,-0.091681,1.383712,0.475764,19.99,80.01,57961.486172999998,0,0,,,,,,
32,,-0.091823,1.384422,0.476091,20.00,80.00,57961.499132999998,0,0,,,,,,
33,,-0.091834,1.384478,0.476117,20.00,80.00,57961.773277,0,0,,,,,,
34,,-0.093502,1.392902,0.479997,20.17,79.83,57961.786455000001,0,0,,,,,,
35,,-0.091978,1.385202,0.476451,20.02,79.98,57961.800410999997,0,0,,,,,,
36,,-0.093786,1.394344,0.480660,20.20,79.80,57962.075821999999,0,0,,,,,,
37,,-0.092776,1.389228,0.478305,20.10,79.90,57962.088754999997,0,0,,,,,,
38,,-0.091777,1.384195,0.475986,20.00,80.00,57962.101570999999,0,0,,,,,,
39,,-0.089261,1.371597,0.470181,19.76,80.24,57962.378550000001,0,0,,,,,,
40,,-0.092082,1.385729,0.476693,20.03,79.97,57962.391540999997,0,0,,,,,,
41,,-0.092406,1.387364,0.477446,20.06,79.94,57962.404560000003,0,0,,,,,,
42,,-0.092128,1.385958,0.476799,20.03,79.97,57962.704235999998,0,0,,,,,,
43,,-0.091641,1.383508,0.475670,19.99,80.01,57962.716815,0,0,,,,,,
44,,-0.090890,1.379739,0.473933,19.91,80.09,57962.729276999999,0,0,,,,,,
45,,-0.092809,1.389398,0.478383,20.10,79.90,57963.006214000001,0,0,,,,,,
46,,-0.091488,1.382739,0.475316,19.97,80.03,57963.039049999999,0,0,,,,,,
47,,-0.096991,1.410721,0.488196,20.51,79.49,57963.051745999997,0,0,,,,,,
48,,-0.090912,1.379848,0.473984,19.92,80.08,57963.308650999999,0,0,,,,,,
49,,-0.091325,1.381919,0.474938,19.96,80.04,57963.321752999997,0,0,,,,,,
50,,-0.092877,1.389739,0.478540,20.11,79.89,57963.336173999996,0,0,,,,,,
51,,-0.092670,1.388694,0.478059,20.09,79.91,57963.613098000002,0,0,,,,,,
52,,-0.092676,1.388725,0.478073,20.09,79.91,57963.626144000002,0,0,,,,,,
53,,-0.092093,1.385784,0.476718,20.03,79.97,57963.648115999997,0,0,,,,,,
54,,-0.093257,1.391664,0.479426,20.14,79.86,57963.912506000001,0,0,,,,,,
55,,-0.093276,1.391758,0.479470,20.15,79.85,57963.925295000001,0,0,,,,,,
56,,-0.091437,1.382484,0.475199,19.97,80.03,57963.948520999998,0,0,,,,,,
57,,-0.094392,1.397423,0.482078,20.26,79.74,57964.219163000002,0,0,,,,,,
58,,-0.092895,1.389830,0.478582,20.11,79.89,57964.232064999997,0,0,,,,,,
59,,-0.093430,1.392540,0.479830,20.16,79.84,57964.262479999998,0,0,,,,,,
60,,-0.090682,1.378694,0.473452,19.89,80.11,57964.427226,0,0,,,,,,
61,,-0.092769,1.389194,0.478289,20.10,79.90,57964.441843000001,0,0,,,,,,
62,,-0.092024,1.385434,0.476557,20.02,79.98,57964.465361000002,0,0,,,,,,
63,,-0.093607,1.393435,0.480242,20.18,79.82,57964.728788,0,0,,,,,,
64,,-0.090675,1.378661,0.473437,19.89,80.11,57964.741289999998,0,0,,,,,,
65,,-0.093497,1.392878,0.479986,20.17,79.83,57964.755183000001,0,0,,,,,,
66,,-0.092938,1.390049,0.478683,20.11,79.89,57965.032527000003,0,0,,,,,,
67,,-0.092321,1.386931,0.477247,20.05,79.95,57965.045288000001,0,0,,,,,,
68,,-0.091582,1.383214,0.475535,19.98,80.02,57965.058379000002,0,0,,,,,,
69,,-0.092519,1.387932,0.477708,20.07,79.93,57965.335027000001,0,0,,,,,,
70,,-0.094256,1.396734,0.481761,20.24,79.76,57965.347729000001,0,0,,,,,,
71,,-0.092948,1.390097,0.478705,20.11,79.89,57965.360502000003,0,0,,,,,,
72,,-0.094062,1.395747,0.481306,20.22,79.78,57965.641675999999,0,0,,,,,,
73,,-0.092854,1.389626,0.478488,20.10,79.90,57965.654798000003,0,0,,,,,,
74,,-0.092735,1.389021,0.478209,20.09,79.91,57965.667504999998,0,0,,,,,,
75,,-0.090691,1.378741,0.473474,19.89,80.11,57965.940372999998,0,0,,,,,,
76,,-0.091628,1.383443,0.475640,19.98,80.02,57965.953843000003,0,0,,,,,,
77,,-0.092571,1.388196,0.477830,20.08,79.92,57965.968486999998,0,0,,,,,,
78,,-0.092215,1.386397,0.477001,20.04,79.96,57966.242809000003,0,0,,,,,,
79,,-0.093360,1.392183,0.479665,20.15,79.85,57966.255886999999,0,0,,,,,,
80,,-0.092820,1.389454,0.478409,20.10,79.90,57966.268493000003,0,0,,,,,,
81,,-0.091289,1.381741,0.474856,19.95,80.05,57966.59852,0,0,,,,,,
82,,-0.092717,1.388931,0.478168,20.09,79.91,57966.633700999999,0,0,,,,,,
83,,-0.091178,1.381182,0.474599,19.94,80.06,57966.646814,0,0,,,,,,
84,,-0.090176,1.376165,0.472286,19.84,80.16,57966.851701,0,0,,,,,,
85,,-0.092991,1.390317,0.478806,20.12,79.88,57966.864728,0,0,,,,,,
86,,-0.091323,1.381910,0.474934,19.96,80.04,57966.877290999997,0,0,,,,,,
87,,-0.092969,1.390208,0.478756,20.12,79.88,57967.154241999997,0,0,,,,,,
88,,-0.092084,1.385740,0.476698,20.03,79.97,57967.168274000003,0,0,,,,,,
89,,-0.093862,1.394730,0.480838,20.20,79.80,57967.182371000003,0,0,,,,,,
90,,-0.091448,1.382540,0.475224,19.97,80.03,57967.457392999997,0,0,,,,,,
91,,-0.091707,1.383840,0.475823,19.99,80.01,57967.470219000003,0,0,,,,,,
92,,-0.091343,1.382011,0.474981,19.96,80.04,57967.482657,0,0,,,,,,
93,,-0.091920,1.384910,0.476316,20.01,79.99,57967.759144000003,0,0,,,,,,
94,,-0.091333,1.381959,0.474956,19.96,80.04,57967.771910000003,0,0,,,,,,
95,,-0.089963,1.375098,0.471795,19.82,80.18,57967.784635000004,0,0,,,,,,
96,,-0.094226,1.396579,0.481689,20.24,79.76,57968.056377000001,0,0,,,,,,
97,,-0.092611,1.388396,0.477921,20.08,79.92,57968.063131000003,0,0,,,,,,
98,,-0.094491,1.397930,0.482311,20.27,79.73,57968.069753000003,0,0,,,,,,
99,,-0.092199,1.386319,0.476965,20.04,79.96,57968.379228999998,0,0,,,,,,
100,,-0.095412,1.402628,0.484473,20.36,79.64,57968.392236,0,0,,,,,,
101,,-0.092260,1.386627,0.477107,20.05,79.95,57968.405188999997,0,0,,,,,,
102,,-0.093621,1.393509,0.480276,20.18,79.82,57968.682230999999,0,0,,,,,,
103,,-0.091035,1.380467,0.474269,19.93,80.07,57968.695479000002,0,0,,,,,,
104,,-0.091805,1.384332,0.476050,20.00,80.00,57968.708734,0,0,,,,,,
105,,-0.091993,1.385281,0.476487,20.02,79.98,57968.984579000004,0,0,,,,,,
106,,-0.093141,1.391074,0.479155,20.13,79.87,57968.997544999998,0,0,,,,,,
107,,-0.092959,1.390154,0.478731,20.11,79.89,57969.010093999997,0,0,,,,,,
108,,-0.093185,1.391298,0.479258,20.14,79.86,57969.287280999997,0,0,,,,,,
109,,-0.091207,1.381327,0.474665,19.94,80.06,57969.302095999999,0,0,,,,,,
110,,-0.092933,1.390022,0.478670,20.11,79.89,57969.315108000003,0,0,,,,,,
111,,-0.094927,1.400151,0.483333,20.31,79.69,57969.6302,0,0,,,,,,
112,,-0.093676,1.393785,0.480403,20.18,79.82,57969.64316,0,0,,,,,,
113,,-0.092836,1.389535,0.478446,20.10,79.90,57969.656137999998,0,0,,,,,,
114,,-0.094057,1.395719,0.481294,20.22,79.78,57969.791571000002,0,0,,,,,,
115,,-0.091668,1.383646,0.475734,19.99,80.01,57969.818644999999,0,0,,,,,,
116,,-0.092729,1.388993,0.478196,20.09,79.91,57969.831559999999,0,0,,,,,,
117,,-0.092087,1.385752,0.476704,20.03,79.97,57970.092819999998,0,0,,,,,,
118,,-0.092036,1.385497,0.476586,20.02,79.98,57970.106132000001,0,0,,,,,,
119,,-0.091954,1.385086,0.476397,20.02,79.98,57970.132920999997,0,0,,,,,,
120,,-0.091991,1.385269,0.476481,20.02,79.98,57970.395400000001,0,0,,,,,,
121,,-0.094481,1.397877,0.482287,20.26,79.74,57970.407976000002,0,0,,,,,,
122,,-0.094485,1.397896,0.482296,20.26,79.74,57970.430139999997,0,0,,,,,,
123,,-0.093505,1.392919,0.480004,20.17,79.83,57970.697889000003,0,0,,,,,,
124,,-0.093230,1.391529,0.479364,20.14,79.86,57970.710503000002,0,0,,,,,,
125,,-0.092333,1.386993,0.477276,20.05,79.95,57970.723458,0,0,,,,,,
126,,-0.093232,1.391535,0.479367,20.14,79.86,57971.003852000002,0,0,,,,,,
127,,-0.093051,1.390622,0.478947,20.12,79.88,57971.016708000003,0,0,,,,,,
128,,-0.092636,1.388523,0.477980,20.08,79.92,57971.029861000003,0,0,,,,,,
129,,-0.094988,1.400458,0.483475,20.31,79.69,57971.304061000003,0,0,,,,,,
130,,-0.093767,1.394248,0.480616,20.19,79.81,57971.316978000003,0,0,,,,,,
131,,-0.090708,1.378824,0.473512,19.90,80.10,57971.335587000001,0,0,,,,,,
132,,-0.094940,1.400214,0.483362,20.31,79.69,57971.606958999997,0,0,,,,,,
133,,-0.092938,1.390047,0.478682,20.11,79.89,57971.619963999998,0,0,,,,,,
134,,-0.091128,1.380931,0.474483,19.94,80.06,57971.632705000004,0,0,,,,,,
135,,-0.092523,1.387955,0.477718,20.07,79.93,57971.908860000003,0,0,,,,,,
136,,-0.092641,1.388547,0.477991,20.08,79.92,57971.921584000003,0,0,,,,,,
137,,-0.093893,1.394888,0.480911,20.21,79.79,57971.934327000003,0,0,,,,,,
138,,-0.093145,1.391099,0.479166,20.13,79.87,57972.218023000001,0,0,,,,,,
139,,-0.093215,1.391449,0.479327,20.14,79.86,57972.230918000001,0,0,,,,,,
140,,-0.092126,1.385952,0.476796,20.03,79.97,57972.515960999997,0,0,,,,,,
141,,-0.092466,1.387666,0.477585,20.07,79.93,57972.529954999998,0,0,,,,,,
142,,-0.092021,1.385422,0.476552,20.02,79.98,57972.612839000001,0,0,,,,,,
143,,-0.093074,1.390737,0.479000,20.13,79.87,57972.818756000001,0,0,,,,,,
144,,-0.092835,1.389530,0.478444,20.10,79.90,57972.831466000003,0,0,,,,,,
145,,-0.093340,1.392086,0.479621,20.15,79.85,57972.844069999999,0,0,,,,,,
146,,-0.094603,1.398500,0.482573,20.28,79.72,57973.112792,0,0,,,,,,
147,,-0.095431,1.402721,0.484516,20.36,79.64,57973.119635000003,0,0,,,,,,
148,,-0.093205,1.391398,0.479304,20.14,79.86,57973.126192000003,0,0,,,,,,
149,,-0.094185,1.396370,0.481593,20.24,79.76,57973.423667000003,0,0,,,,,,
150,,-0.094353,1.397228,0.481988,20.25,79.75,57973.436425,0,0,,,,,,
151,,-0.092982,1.390274,0.478786,20.12,79.88,57973.448906999998,0,0,,,,,,
152,,-0.092852,1.389614,0.478483,20.10,79.90,57973.730210000002,0,0,,,,,,
153,,-0.091971,1.385171,0.476436,20.02,79.98,57973.743196000003,0,0,,,,,,
154,,-0.093543,1.393111,0.480093,20.17,79.83,57973.756071999996,0,0,,,,,,
155,,-0.093134,1.391041,0.479140,20.13,79.87,57974.032100999997,0,0,,,,,,
156,,-0.092857,1.389640,0.478494,20.10,79.90,57974.045185000003,0,0,,,,,,
157,,-0.092811,1.389408,0.478388,20.10,79.90,57974.061802999997,0,0,,,,,,
158,,-0.093504,1.392914,0.480002,20.17,79.83,57974.336461999999,0,0,,,,,,
159,,-0.091506,1.382831,0.475358,19.97,80.03,57974.349093999997,0,0,,,,,,
160,,-0.094162,1.396256,0.481540,20.23,79.77,57974.361835000003,0,0,,,,,,
161,,-0.095131,1.401191,0.483812,20.33,79.67,57974.640359999998,0,0,,,,,,
162,,-0.094683,1.398908,0.482761,20.28,79.72,57974.652983,0,0,,,,,,
163,,-0.092052,1.385576,0.476623,20.03,79.97,57974.665856,0,0,,,,,,
164,,-0.094552,1.398236,0.482452,20.27,79.73,57974.947741999997,0,0,,,,,,
165,,-0.092588,1.388279,0.477868,20.08,79.92,57974.960658999997,0,0,,,,,,
166,,-0.093455,1.392666,0.479888,20.16,79.84,57974.973139000002,0,0,,,,,,
167,,-0.092732,1.389008,0.478203,20.09,79.91,57975.163787999998,0,0,,,,,,
168,,-0.090625,1.378410,0.473321,19.89,80.11,57975.176808999997,0,0,,,,,,
169,,-0.092908,1.389896,0.478613,20.11,79.89,57975.189566000001,0,0,,,,,,
170,,-0.091284,1.381713,0.474843,19.95,80.05,57975.465795999997,0,0,,,,,,
171,,-0.095302,1.402063,0.484213,20.35,79.65,57975.478981,0,0,,,,,,
172,,-0.091952,1.385071,0.476390,20.02,79.98,57975.493711000003,0,0,,,,,,
173,,-0.092976,1.390239,0.478770,20.12,79.88,57975.773555,0,0,,,,,,
174,,-0.093057,1.390652,0.478961,20.12,79.88,57975.786405999999,0,0,,,,,,
175,,-0.093527,1.393031,0.480056,20.17,79.83,57975.799112000001,0,0,,,,,,
176,,-0.091516,1.382879,0.475380,19.97,80.03,57976.072548999997,0,0,,,,,,
177,,-0.091148,1.381029,0.474528,19.94,80.06,57976.085411,0,0,,,,,,
178,,-0.092567,1.388176,0.477820,20.08,79.92,57976.098084999998,0,0,,,,,,
179,,-0.093979,1.395322,0.481111,20.21,79.79,57976.37573,0,0,,,,,,
180,,-0.094601,1.398488,0.482568,20.28,79.72,57976.388826000002,0,0,,,,,,
181,,-0.093012,1.390425,0.478856,20.12,79.88,57976.401659000003,0,0,,,,,,
182,,-0.091046,1.380522,0.474294,19.93,80.07,57976.686404,0,0,,,,,,
183,,-0.092205,1.386346,0.476978,20.04,79.96,57976.701277,0,0,,,,,,
184,,-0.094195,1.396425,0.481618,20.24,79.76,57976.714293999998,0,0,,,,,,
185,,-0.092986,1.390294,0.478796,20.12,79.88,57976.989715000003,0,0,,,,,,
186,,-0.094394,1.397435,0.482083,20.26,79.74,57977.002519000001,0,0,,,,,,
187,,-0.092162,1.386129,0.476878,20.04,79.96,57977.015203000003,0,0,,,,,,
188,,-0.093791,1.394373,0.480674,20.20,79.80,57977.292307000003,0,0,,,,,,
189,,-0.094065,1.395762,0.481313,20.22,79.78,57977.307033999998,0,0,,,,,,
190,,-0.093869,1.394767,0.480855,20.20,79.80,57977.319733999997,0,0,,,,,,
191,,-0.095321,1.402162,0.484259,20.35,79.65,57977.601998999999,0,0,,,,,,
192,,-0.093407,1.392424,0.479776,20.16,79.84,57977.615264,0,0,,,,,,
193,,-0.094262,1.396762,0.481773,20.24,79.76,57977.627764999997,0,0,,,,,,
194,,-0.093441,1.392594,0.479855,20.16,79.84,57977.899273000003,0,0,,,,,,
195,,-0.092237,1.386510,0.477053,20.04,79.96,57977.927166000001,0,0,,,,,,
196,,-0.092558,1.388131,0.477799,20.08,79.92,57977.939911000001,0,0,,,,,,
197,,-0.094108,1.395982,0.481414,20.23,79.77,57978.200787000002,0,0,,,,,,
198,,-0.093250,1.391627,0.479410,20.14,79.86,57978.213776999997,0,0,,,,,,
199,,-0.091981,1.385220,0.476459,20.02,79.98,57978.232322000003,0,0,,,,,,
200,,-0.092911,1.389915,0.478621,20.11,79.89,57978.502526999997,0,0,,,,,,
201,,-0.091448,1.382540,0.475224,19.97,80.03,57978.515191999999,0,0,,,,,,
202,,-0.092530,1.387986,0.477733,20.07,79.93,57978.541340999996,0,0,,,,,,
203,,-0.091835,1.384486,0.476121,20.01,79.99,57978.805856999999,0,0,,,,,,
204,,-0.095635,1.403766,0.484996,20.38,79.62,57978.818600999999,0,0,,,,,,
205,,-0.093656,1.393686,0.480358,20.18,79.82,57978.831403999997,0,0,,,,,,
206,,-0.092073,1.385683,0.476672,20.03,79.97,57979.111879999997,0,0,,,,,,
207,,-0.093062,1.390677,0.478972,20.12,79.88,57979.126105000003,0,0,,,,,,
208,,-0.091321,1.381901,0.474930,19.96,80.04,57979.139148000002,0,0,,,,,,
209,,-0.096236,1.406846,0.486413,20.44,79.56,57979.412344999997,0,0,,,,,,
210,,-0.093990,1.395382,0.481138,20.22,79.78,57979.425092999998,0,0,,,,,,
211,,-0.091284,1.381712,0.474843,19.95,80.05,57979.438696999998,0,0,,,,,,
212,,-0.093966,1.395259,0.481082,20.21,79.79,57979.714322,0,0,,,,,,
213,,-0.092530,1.387987,0.477733,20.07,79.93,57979.727146999998,0,0,,,,,,
214,,-0.092117,1.385907,0.476775,20.03,79.97,57979.739717999997,0,0,,,,,,
215,,-0.092827,1.389487,0.478424,20.10,79.90,57980.015803000002,0,0,,,,,,
216,,-0.091908,1.384853,0.476290,20.01,79.99,57980.028532999997,0,0,,,,,,
217,,-0.094276,1.396835,0.481807,20.24,79.76,57980.041039999996,0,0,,,,,,
218,,-0.092486,1.387765,0.477631,20.07,79.93,57980.325254000003,0,0,,,,,,
219,,-0.093730,1.394062,0.480531,20.19,79.81,57980.338041000003,0,0,,,,,,
220,,-0.092934,1.390027,0.478673,20.11,79.89,57980.351263999997,0,0,,,,,,
221,,-0.092631,1.388500,0.477969,20.08,79.92,57980.527156999997,0,0,,,,,,
222,,-0.092043,1.385534,0.476603,20.03,79.97,57980.541811000003,0,0,,,,,,
223,,-0.092648,1.388584,0.478008,20.08,79.92,57980.555740999996,0,0,,,,,,
224,,-0.090652,1.378543,0.473383,19.89,80.11,57980.829595000003,0,0,,,,,,
225,,-0.098144,1.416665,0.490929,20.63,79.37,57980.842335000001,0,0,,,,,,
226,,-0.090329,1.376930,0.472639,19.86,80.14,57980.855392999998,0,0,,,,,,
227,,-0.094630,1.398638,0.482637,20.28,79.72,57981.132282999999,0,0,,,,,,
228,,-0.095685,1.404022,0.485115,20.38,79.62,57981.145189000003,0,0,,,,,,
229,,-0.096281,1.407074,0.486518,20.44,79.56,57981.158060000002,0,0,,,,,,
230,,-0.093944,1.395146,0.481030,20.21,79.79,57981.446637000001,0,0,,,,,,
231,,-0.095940,1.405327,0.485715,20.41,79.59,57981.459489000001,0,0,,,,,,
232,,-0.096215,1.406734,0.486362,20.44,79.56,57981.472424,0,0,,,,,,
233,,-0.095250,1.401798,0.484091,20.34,79.66,57981.748900999999,0,0,,,,,,
234,,-0.094524,1.398097,0.482388,20.27,79.73,57981.761915000003,0,0,,,,,,
235,,-0.103114,1.442631,0.502855,21.13,78.87,57981.775043000001,0,0,,,,,,
236,,-0.103181,1.442984,0.503017,21.14,78.86,57982.062298999997,0,0,,,,,,
237,,-0.102798,1.440964,0.502090,21.10,78.90,57982.078274,0,0,,,,,,
238,,-0.104135,1.448035,0.505335,21.23,78.77,57982.091031000004,0,0,,,,,,
239,,-0.104004,1.447341,0.505017,21.22,78.78,57982.364778000003,0,0,,,,,,
240,,-0.104568,1.450332,0.506388,21.28,78.72,57982.377757000002,0,0,,,,,,
241,,-0.101817,1.435806,0.499722,21.00,79.00,57982.390471999999,0,0,,,,,,
242,,-0.102900,1.441505,0.502338,21.11,78.89,57982.666373,0,0,,,,,,
